"일자","요일","성별","연령","발신지_시도","발신지_구","발신지_동","통화건수"
"20190901","일","남","30대","서울특별시","강북구","미아동","32"
"20190901","일","남","30대","서울특별시","강북구","번동","6"
"20190901","일","남","40대","서울특별시","강북구","미아동","23"
"20190901","일","남","40대","서울특별시","강북구","번동","10"
"20190901","일","남","50대","서울특별시","강북구","미아동","14"
"20190901","일","남","50대","서울특별시","강북구","번동","5"
"20190901","일","남","50대","서울특별시","강북구","수유동","5"
"20190901","일","여","60대이상","서울특별시","강북구","번동","5"
"20190901","일","여","60대이상","서울특별시","강북구","미아동","15"
"20190901","일","남","60대이상","서울특별시","강북구","미아동","5"
"20190901","일","여","10대","서울특별시","강북구","미아동","5"
"20190901","일","여","10대","서울특별시","강북구","번동","5"
"20190901","일","여","20대","서울특별시","강북구","미아동","26"
"20190901","일","여","20대","서울특별시","강북구","번동","5"
"20190901","일","여","30대","서울특별시","강북구","미아동","29"
"20190901","일","여","30대","서울특별시","강북구","번동","10"
"20190901","일","남","10대","서울특별시","강북구","미아동","8"
"20190901","일","여","40대","서울특별시","강북구","미아동","65"
"20190901","일","여","40대","서울특별시","강북구","번동","12"
"20190901","일","여","50대","서울특별시","강북구","미아동","36"
"20190901","일","여","50대","서울특별시","강북구","번동","9"
"20190901","일","여","30대","서울특별시","강서구","내발산동","13"
"20190901","일","남","10대","서울특별시","강서구","내발산동","5"
"20190901","일","여","50대","서울특별시","강서구","화곡동","12"
"20190901","일","남","10대","서울특별시","강서구","가양동","5"
"20190901","일","남","10대","서울특별시","강서구","화곡동","5"
"20190901","일","남","40대","서울특별시","강서구","가양동","9"
"20190901","일","남","40대","서울특별시","강서구","내발산동","22"
"20190901","일","남","40대","서울특별시","강서구","등촌동","5"
"20190901","일","남","40대","서울특별시","강서구","마곡동","5"
"20190901","일","남","40대","서울특별시","강서구","방화동","5"
"20190901","일","남","40대","서울특별시","강서구","화곡동","17"
"20190901","일","남","30대","서울특별시","강서구","가양동","17"
"20190901","일","여","60대이상","서울특별시","강서구","화곡동","7"
"20190901","일","남","50대","서울특별시","강서구","가양동","5"
"20190901","일","남","50대","서울특별시","강서구","내발산동","6"
"20190901","일","남","50대","서울특별시","강서구","등촌동","5"
"20190901","일","남","50대","서울특별시","강서구","방화동","5"
"20190901","일","남","50대","서울특별시","강서구","화곡동","9"
"20190901","일","남","30대","서울특별시","강서구","내발산동","27"
"20190901","일","여","30대","서울특별시","강서구","가양동","14"
"20190901","일","여","40대","서울특별시","강서구","화곡동","30"
"20190901","일","여","40대","서울특별시","강서구","방화동","5"
"20190901","일","여","40대","서울특별시","강서구","등촌동","9"
"20190901","일","여","40대","서울특별시","강서구","내발산동","51"
"20190901","일","여","40대","서울특별시","강서구","가양동","22"
"20190901","일","여","50대","서울특별시","강서구","가양동","18"
"20190901","일","여","50대","서울특별시","강서구","내발산동","14"
"20190901","일","여","60대이상","서울특별시","강서구","등촌동","5"
"20190901","일","여","60대이상","서울특별시","강서구","내발산동","5"
"20190901","일","여","60대이상","서울특별시","강서구","가양동","5"
"20190901","일","남","60대이상","서울특별시","강서구","가양동","5"
"20190901","일","남","60대이상","서울특별시","강서구","내발산동","5"
"20190901","일","남","60대이상","서울특별시","강서구","등촌동","5"
"20190901","일","남","60대이상","서울특별시","강서구","화곡동","5"
"20190901","일","남","30대","서울특별시","강서구","등촌동","8"
"20190901","일","남","20대","서울특별시","강서구","화곡동","12"
"20190901","일","남","20대","서울특별시","강서구","방화동","5"
"20190901","일","남","20대","서울특별시","강서구","등촌동","10"
"20190901","일","여","10대","서울특별시","강서구","가양동","5"
"20190901","일","여","10대","서울특별시","강서구","내발산동","8"
"20190901","일","여","10대","서울특별시","강서구","등촌동","5"
"20190901","일","여","10대","서울특별시","강서구","화곡동","5"
"20190901","일","남","30대","서울특별시","강서구","화곡동","15"
"20190901","일","여","50대","서울특별시","강서구","등촌동","5"
"20190901","일","남","20대","서울특별시","강서구","내발산동","21"
"20190901","일","남","20대","서울특별시","강서구","가양동","14"
"20190901","일","여","20대","서울특별시","강서구","가양동","8"
"20190901","일","여","20대","서울특별시","강서구","내발산동","16"
"20190901","일","여","20대","서울특별시","강서구","등촌동","5"
"20190901","일","여","20대","서울특별시","강서구","방화동","5"
"20190901","일","여","20대","서울특별시","강서구","화곡동","7"
"20190901","일","여","30대","서울특별시","강서구","화곡동","24"
"20190901","일","여","30대","서울특별시","강서구","등촌동","5"
"20190901","일","남","40대","서울특별시","관악구","신림동","5"
"20190901","일","여","30대","서울특별시","관악구","신림동","5"
"20190901","일","여","30대","서울특별시","관악구","봉천동","35"
"20190901","일","남","10대","서울특별시","관악구","봉천동","10"
"20190901","일","여","20대","서울특별시","관악구","신림동","5"
"20190901","일","여","40대","서울특별시","관악구","봉천동","57"
"20190901","일","남","50대","서울특별시","관악구","봉천동","22"
"20190901","일","여","50대","서울특별시","관악구","봉천동","41"
"20190901","일","남","60대이상","서울특별시","관악구","봉천동","7"
"20190901","일","남","20대","서울특별시","관악구","신림동","5"
"20190901","일","남","20대","서울특별시","관악구","봉천동","93"
"20190901","일","남","30대","서울특별시","관악구","신림동","5"
"20190901","일","남","30대","서울특별시","관악구","봉천동","74"
"20190901","일","여","60대이상","서울특별시","관악구","봉천동","16"
"20190901","일","여","10대","서울특별시","관악구","봉천동","8"
"20190901","일","여","20대","서울특별시","관악구","봉천동","37"
"20190901","일","남","40대","서울특별시","관악구","봉천동","49"
"20190901","일","여","40대","서울특별시","광진구","자양동","5"
"20190901","일","남","30대","서울특별시","광진구","광장동","5"
"20190901","일","남","30대","서울특별시","광진구","능동","5"
"20190901","일","남","30대","서울특별시","광진구","자양동","5"
"20190901","일","여","20대","서울특별시","광진구","자양동","5"
"20190901","일","남","10대","서울특별시","광진구","능동","5"
"20190901","일","여","50대","서울특별시","광진구","자양동","5"
"20190901","일","여","30대","서울특별시","광진구","자양동","5"
