,사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
1438,6095495,2015046,4511112800,45111003,전라북도 전주시 완산구3,전라북도 전주시 완산구 중화산동2가(오거리마트 부근),4,4,0,1,2,1,127.1250998,35.81660141,"{""type"":""Polygon"",""coordinates"":[[[127.1266647,35.817876],[127.1263294,35.8181001],[127.1259467,35.8182667],[127.1255316,35.8183693],[127.1250998,35.8184039],[127.1246681,35.8183693],[127.1242529,35.8182667],[127.1238703,35.8181001],[127.1235349,35.817876],[127.1232597,35.8176028],[127.1230552,35.8172912],[127.1229293,35.816953],[127.1228867,35.8166014],[127.1229293,35.8162497],[127.1230552,35.8159116],[127.1232597,35.8156],[127.123535,35.8153268],[127.1238703,35.8151027],[127.1242529,35.8149361],[127.1246681,35.8148335],[127.1250998,35.8147989],[127.1255316,35.8148335],[127.1259467,35.8149361],[127.1263293,35.8151027],[127.1266647,35.8153268],[127.1269399,35.8156],[127.1271444,35.8159116],[127.1272704,35.8162497],[127.1273129,35.8166014],[127.1272704,35.816953],[127.1271444,35.8172912],[127.1269399,35.8176028],[127.1266647,35.817876]]]}"
1439,6097401,2015046,4511310200,45113001,전라북도 전주시 덕진구1,전라북도 전주시 덕진구 진북동(이조칼국수 부근),5,5,1,2,2,0,127.1396198,35.83091531,"{""type"":""Polygon"",""coordinates"":[[[127.1411849,35.8321899],[127.1408495,35.832414],[127.1404668,35.8325806],[127.1400516,35.8326832],[127.1396198,35.8327178],[127.1391879,35.8326832],[127.1387727,35.8325806],[127.13839,35.832414],[127.1380546,35.8321899],[127.1377793,35.8319167],[127.1375748,35.8316051],[127.1374488,35.8312669],[127.1374063,35.8309153],[127.1374488,35.8305636],[127.1375748,35.8302255],[127.1377793,35.8299139],[127.1380546,35.8296407],[127.13839,35.8294166],[127.1387727,35.82925],[127.1391879,35.8291474],[127.1396198,35.8291128],[127.1400516,35.8291474],[127.1404668,35.82925],[127.1408495,35.8294166],[127.1411849,35.8296407],[127.1414602,35.8299139],[127.1416647,35.8302255],[127.1417907,35.8305636],[127.1418332,35.8309153],[127.1417907,35.8312669],[127.1416648,35.8316051],[127.1414602,35.8319167],[127.1411849,35.8321899]]]}"
1440,6096033,2015046,4511310600,45113002,전라북도 전주시 덕진구2,전라북도 전주시 덕진구 덕진동2가(흙가든 부근),5,5,0,2,3,0,127.119705,35.85220719,"{""type"":""Polygon"",""coordinates"":[[[127.1212706,35.8534818],[127.1209351,35.8537059],[127.1205523,35.8538725],[127.120137,35.8539751],[127.119705,35.8540097],[127.1192731,35.8539751],[127.1188577,35.8538725],[127.1184749,35.8537059],[127.1181394,35.8534818],[127.1178641,35.8532086],[127.1176595,35.852897],[127.1175335,35.8525588],[127.117491,35.8522072],[127.1175335,35.8518555],[127.1176595,35.8515174],[127.1178641,35.8512058],[127.1181395,35.8509326],[127.118475,35.8507085],[127.1188578,35.8505419],[127.1192731,35.8504393],[127.119705,35.8504047],[127.120137,35.8504393],[127.1205523,35.8505419],[127.1209351,35.8507085],[127.1212706,35.8509326],[127.1215459,35.8512058],[127.1217505,35.8515174],[127.1218765,35.8518555],[127.1219191,35.8522072],[127.1218766,35.8525588],[127.1217506,35.852897],[127.121546,35.8532086],[127.1212706,35.8534818]]]}"
1441,6097402,2015046,4511310600,45113003,전라북도 전주시 덕진구3,전라북도 전주시 덕진구 덕진동2가(알라딘카센타 부근),5,5,0,1,4,0,127.1134425,35.84974985,"{""type"":""Polygon"",""coordinates"":[[[127.1150081,35.8510244],[127.1146726,35.8512486],[127.1142898,35.8514152],[127.1138744,35.8515177],[127.1134425,35.8515524],[127.1130106,35.8515177],[127.1125952,35.8514152],[127.1122125,35.8512486],[127.1118769,35.8510244],[127.1116016,35.8507513],[127.111397,35.8504396],[127.111271,35.8501015],[127.1112285,35.8497498],[127.1112711,35.8493982],[127.1113971,35.84906],[127.1116017,35.8487484],[127.111877,35.8484753],[127.1122125,35.8482511],[127.1125953,35.8480845],[127.1130106,35.847982],[127.1134425,35.8479473],[127.1138744,35.847982],[127.1142897,35.8480845],[127.1146725,35.8482511],[127.115008,35.8484753],[127.1152834,35.8487484],[127.115488,35.84906],[127.115614,35.8493982],[127.1156565,35.8497498],[127.115614,35.8501015],[127.115488,35.8504396],[127.1152834,35.8507513],[127.1150081,35.8510244]]]}"
1442,6096105,2015046,4511310800,45113004,전라북도 전주시 덕진구4,전라북도 전주시 덕진구 팔복동1가(전주팔복동우체국 부근),4,4,0,1,2,1,127.1060663,35.85337141,"{""type"":""Polygon"",""coordinates"":[[[127.107632,35.854646],[127.1072965,35.8548701],[127.1069137,35.8550367],[127.1064983,35.8551393],[127.1060663,35.8551739],[127.1056344,35.8551393],[127.105219,35.8550367],[127.1048362,35.8548701],[127.1045007,35.854646],[127.1042254,35.8543728],[127.1040208,35.8540612],[127.1038948,35.853723],[127.1038523,35.8533714],[127.1038948,35.8530197],[127.1040208,35.8526816],[127.1042254,35.85237],[127.1045008,35.8520968],[127.1048363,35.8518727],[127.1052191,35.8517061],[127.1056344,35.8516035],[127.1060663,35.8515689],[127.1064983,35.8516035],[127.1069136,35.8517061],[127.1072964,35.8518727],[127.1076319,35.8520968],[127.1079073,35.85237],[127.1081119,35.8526816],[127.1082379,35.8530197],[127.1082804,35.8533714],[127.1082379,35.853723],[127.1081119,35.8540612],[127.1079073,35.8543728],[127.107632,35.854646]]]}"
1443,6095703,2015046,4511310700,45113005,전라북도 전주시 덕진구5,전라북도 전주시 덕진구 금암동(코리아홈마트 부근),4,4,0,0,4,0,127.1390074,35.84260146,"{""type"":""Polygon"",""coordinates"":[[[127.1405728,35.843876],[127.1402374,35.8441002],[127.1398546,35.8442668],[127.1394393,35.8443693],[127.1390074,35.844404],[127.1385755,35.8443693],[127.1381602,35.8442668],[127.1377775,35.8441002],[127.137442,35.843876],[127.1371667,35.8436029],[127.1369621,35.8432912],[127.1368362,35.8429531],[127.1367936,35.8426014],[127.1368362,35.8422498],[127.1369622,35.8419116],[127.1371667,35.8416],[127.1374421,35.8413269],[127.1377775,35.8411027],[127.1381603,35.8409361],[127.1385755,35.8408336],[127.1390074,35.8407989],[127.1394393,35.8408336],[127.1398546,35.8409361],[127.1402373,35.8411027],[127.1405728,35.8413269],[127.1408481,35.8416],[127.1410527,35.8419116],[127.1411787,35.8422498],[127.1412212,35.8426014],[127.1411787,35.8429531],[127.1410527,35.8432912],[127.1408482,35.8436029],[127.1405728,35.843876]]]}"
1444,6095685,2015046,4511310700,45113006,전라북도 전주시 덕진구6,전라북도 전주시 덕진구 금암동(전북체육회관 부근),4,4,0,0,4,0,127.1278092,35.84089931,"{""type"":""Polygon"",""coordinates"":[[[127.1293745,35.8421739],[127.1290391,35.842398],[127.1286563,35.8425646],[127.128241,35.8426672],[127.1278092,35.8427018],[127.1273773,35.8426672],[127.126962,35.8425646],[127.1265792,35.842398],[127.1262438,35.8421739],[127.1259685,35.8419007],[127.1257639,35.8415891],[127.1256379,35.8412509],[127.1255954,35.8408993],[127.125638,35.8405476],[127.1257639,35.8402095],[127.1259685,35.8398979],[127.1262438,35.8396247],[127.1265793,35.8394006],[127.126962,35.839234],[127.1273773,35.8391314],[127.1278092,35.8390968],[127.128241,35.8391314],[127.1286563,35.839234],[127.129039,35.8394006],[127.1293745,35.8396247],[127.1296498,35.8398979],[127.1298544,35.8402095],[127.1299804,35.8405476],[127.1300229,35.8408993],[127.1299804,35.8412509],[127.1298544,35.8415891],[127.1296498,35.8419007],[127.1293745,35.8421739]]]}"
1445,6095798,2015046,4511310300,45113007,전라북도 전주시 덕진구7,전라북도 전주시 덕진구 인후동1가(안골네거리 부근),4,4,0,0,4,0,127.1564838,35.83684629,"{""type"":""Polygon"",""coordinates"":[[[127.1580491,35.8381209],[127.1577137,35.838345],[127.157331,35.8385116],[127.1569157,35.8386142],[127.1564838,35.8386488],[127.156052,35.8386142],[127.1556367,35.8385116],[127.155254,35.838345],[127.1549185,35.8381209],[127.1546432,35.8378477],[127.1544387,35.8375361],[127.1543127,35.8371979],[127.1542702,35.8368463],[127.1543127,35.8364946],[127.1544387,35.8361565],[127.1546433,35.8358449],[127.1549186,35.8355717],[127.155254,35.8353475],[127.1556367,35.835181],[127.156052,35.8350784],[127.1564838,35.8350438],[127.1569157,35.8350784],[127.1573309,35.835181],[127.1577136,35.8353475],[127.1580491,35.8355717],[127.1583244,35.8358449],[127.158529,35.8361565],[127.1586549,35.8364946],[127.1586975,35.8368463],[127.1586549,35.8371979],[127.158529,35.8375361],[127.1583244,35.8378477],[127.1580491,35.8381209]]]}"
2053,6223457,2016147,4511310700,45113001,전라북도 전주시 덕진구1,전라북도 전주시 덕진구 금암동(전국렌트카 부근),6,6,0,2,4,0,127.1374885,35.83284553,"{""type"":""Polygon"",""coordinates"":[[[127.1392851,35.83284553],[127.13925057,35.83256137],[127.13914834,35.83228812],[127.13898231,35.8320363],[127.13875888,35.83181557],[127.13848662,35.83163442],[127.13817601,35.83149982],[127.13783897,35.83141693],[127.13748847,35.83138894],[127.13713796,35.83141693],[127.13680093,35.83149982],[127.13649031,35.83163442],[127.13621806,35.83181557],[127.13599462,35.8320363],[127.1358286,35.83228812],[127.13572636,35.83256137],[127.13569184,35.83284553],[127.13572636,35.8331297],[127.1358286,35.83340294],[127.13599462,35.83365476],[127.13621806,35.83387548],[127.13649031,35.83405662],[127.13680093,35.83419122],[127.13713796,35.83427411],[127.13748847,35.8343021],[127.13783897,35.83427411],[127.13817601,35.83419122],[127.13848662,35.83405662],[127.13875888,35.83387548],[127.13898231,35.83365476],[127.13914834,35.83340294],[127.13925057,35.8331297],[127.1392851,35.83284553]]]}"
2054,6223857,2016147,4511310700,45113002,전라북도 전주시 덕진구2,전라북도 전주시 덕진구 금암동(진수어학원 부근),6,6,0,1,5,0,127.1305363,35.8402225,"{""type"":""Polygon"",""coordinates"":[[[127.13233291,35.8402225],[127.13229839,35.83993836],[127.13219615,35.83966514],[127.13203012,35.83941334],[127.13180669,35.83919263],[127.13153443,35.8390115],[127.13122382,35.83887691],[127.13088678,35.83879403],[127.13053628,35.83876604],[127.13018577,35.83879403],[127.12984874,35.83887691],[127.12953812,35.8390115],[127.12926587,35.83919263],[127.12904243,35.83941334],[127.12887641,35.83966514],[127.12877417,35.83993836],[127.12873965,35.8402225],[127.12877417,35.84050664],[127.12887641,35.84077986],[127.12904243,35.84103165],[127.12926587,35.84125236],[127.12953812,35.84143348],[127.12984874,35.84156807],[127.13018577,35.84165095],[127.13053628,35.84167893],[127.13088678,35.84165095],[127.13122382,35.84156807],[127.13153443,35.84143348],[127.13180669,35.84125236],[127.13203012,35.84103165],[127.13219615,35.84077986],[127.13229839,35.84050664],[127.13233291,35.8402225]]]}"
2055,6223459,2016147,4511310500,45113003,전라북도 전주시 덕진구3,전라북도 전주시 덕진구 덕진동1가(전주시덕진예술관 부근),4,4,1,1,2,0,127.1199787,35.84804175,"{""type"":""Polygon"",""coordinates"":[[[127.1217753,35.84804175],[127.12174077,35.84775764],[127.12163853,35.84748445],[127.12147251,35.84723267],[127.12124907,35.84701198],[127.12097682,35.84683087],[127.12066621,35.84669629],[127.12032917,35.84661342],[127.11997866,35.84658544],[127.11962816,35.84661342],[127.11929112,35.84669629],[127.11898051,35.84683087],[127.11870826,35.84701198],[127.11848482,35.84723267],[127.11831879,35.84748445],[127.11821656,35.84775764],[127.11818203,35.84804175],[127.11821656,35.84832586],[127.11831879,35.84859905],[127.11848482,35.84885082],[127.11870826,35.8490715],[127.11898051,35.84925261],[127.11929112,35.84938718],[127.11962816,35.84947005],[127.11997866,35.84949804],[127.12032917,35.84947005],[127.12066621,35.84938718],[127.12097682,35.84925261],[127.12124907,35.8490715],[127.12147251,35.84885082],[127.12163853,35.84859905],[127.12174077,35.84832586],[127.1217753,35.84804175]]]}"
2056,6223460,2016147,4511310300,45113004,전라북도 전주시 덕진구4,전라북도 전주시 덕진구 인후동1가(진성카센타 부근),4,4,0,2,2,0,127.1506852,35.83598093,"{""type"":""Polygon"",""coordinates"":[[[127.15248181,35.83598093],[127.15244729,35.83569678],[127.15234505,35.83542354],[127.15217902,35.83517173],[127.15195559,35.83495101],[127.15168333,35.83476987],[127.15137272,35.83463527],[127.15103568,35.83455239],[127.15068518,35.8345244],[127.15033467,35.83455239],[127.14999764,35.83463527],[127.14968702,35.83476987],[127.14941477,35.83495101],[127.14919133,35.83517173],[127.14902531,35.83542354],[127.14892307,35.83569678],[127.14888855,35.83598093],[127.14892307,35.83626509],[127.14902531,35.83653832],[127.14919133,35.83679013],[127.14941477,35.83701084],[127.14968702,35.83719198],[127.14999764,35.83732657],[127.15033467,35.83740946],[127.15068518,35.83743744],[127.15103568,35.83740946],[127.15137272,35.83732657],[127.15168333,35.83719198],[127.15195559,35.83701084],[127.15217902,35.83679013],[127.15234505,35.83653832],[127.15244729,35.83626509],[127.15248181,35.83598093]]]}"
2549,6302645,2017050,4511112600,45111001,전라북도 전주시 완산구1,전라북도 전주시 완산구 서서학동(바이텍자전거백화점 부근),4,4,0,2,2,0,127.1490494,35.8102542,"{""type"":""Polygon"",""coordinates"":[[[127.15084607,35.8102542],[127.15081154,35.80996995],[127.15070931,35.80969663],[127.15054328,35.80944473],[127.15031985,35.80922394],[127.15004759,35.80904275],[127.14973698,35.8089081],[127.14939994,35.80882519],[127.14904944,35.80879719],[127.14869893,35.80882519],[127.1483619,35.8089081],[127.14805128,35.80904275],[127.14777903,35.80922394],[127.14755559,35.80944473],[127.14738957,35.80969663],[127.14728733,35.80996995],[127.14725281,35.8102542],[127.14728733,35.81053845],[127.14738957,35.81081177],[127.14755559,35.81106366],[127.14777903,35.81128444],[127.14805128,35.81146564],[127.1483619,35.81160028],[127.14869893,35.81168319],[127.14904944,35.81171118],[127.14939994,35.81168319],[127.14973698,35.81160028],[127.15004759,35.81146564],[127.15031985,35.81128444],[127.15054328,35.81106366],[127.15070931,35.81081177],[127.15081154,35.81053845],[127.15084607,35.8102542]]]}"
2550,6319351,2017050,4511310700,45113001,전라북도 전주시 덕진구1,전라북도 전주시 덕진구 금암동(에이스카센타 부근),8,8,0,0,7,1,127.1320569,35.840412,"{""type"":""Polygon"",""coordinates"":[[[127.13385353,35.840412],[127.13381901,35.84012786],[127.13371677,35.83985464],[127.13355074,35.83960284],[127.13332731,35.83938213],[127.13305505,35.839201],[127.13274444,35.83906641],[127.1324074,35.83898353],[127.1320569,35.83895554],[127.13170639,35.83898353],[127.13136936,35.83906641],[127.13105875,35.839201],[127.13078649,35.83938213],[127.13056306,35.83960284],[127.13039703,35.83985464],[127.13029479,35.84012786],[127.13026027,35.840412],[127.13029479,35.84069613],[127.13039703,35.84096935],[127.13056306,35.84122115],[127.13078649,35.84144185],[127.13105875,35.84162297],[127.13136936,35.84175756],[127.13170639,35.84184044],[127.1320569,35.84186843],[127.1324074,35.84184044],[127.13274444,35.84175756],[127.13305505,35.84162297],[127.13332731,35.84144185],[127.13355074,35.84122115],[127.13371677,35.84096935],[127.13381901,35.84069613],[127.13385353,35.840412]]]}"
2551,6319352,2017050,4511310700,45113002,전라북도 전주시 덕진구2,전라북도 전주시 덕진구 금암동(스카이항공여행(유) 부근),5,5,1,2,2,0,127.137383,35.83255663,"{""type"":""Polygon"",""coordinates"":[[[127.13917961,35.83255663],[127.13914509,35.83227247],[127.13904285,35.83199922],[127.13887683,35.83174739],[127.13865339,35.83152666],[127.13838114,35.83134552],[127.13807052,35.83121091],[127.13773349,35.83112802],[127.13738298,35.83110003],[127.13703248,35.83112802],[127.13669544,35.83121091],[127.13638483,35.83134552],[127.13611257,35.83152666],[127.13588914,35.83174739],[127.13572311,35.83199922],[127.13562087,35.83227247],[127.13558635,35.83255663],[127.13562087,35.8328408],[127.13572311,35.83311404],[127.13588914,35.83336586],[127.13611257,35.83358659],[127.13638483,35.83376773],[127.13669544,35.83390233],[127.13703248,35.83398522],[127.13738298,35.8340132],[127.13773349,35.83398522],[127.13807052,35.83390233],[127.13838114,35.83376773],[127.13865339,35.83358659],[127.13887683,35.83336586],[127.13904285,35.83311404],[127.13914509,35.8328408],[127.13917961,35.83255663]]]}"
