,일련번호,노선명,기점,기점 경도,기점 위도,중기점,중기점 경도,중기점 위도,종점,종점 경도,종점 위도
169,170,콩쥐팥쥐로L,만성동 771,127.05813329999998,35.82523079999999,상림동 67-19,127.07433190000002,35.8249972,효자동3가1066,127.08548229999998,35.821071
170,171,콩쥐팥쥐로R,만성동 771,127.05813329999998,35.82523079999999,상림동 67-19,127.07433190000002,35.8249972,효자동3가1066,127.08548229999998,35.821071
173,174,태진로L,태평동94-30,127.1376726,35.82129929999999,진북동 890-37,127.1366746,35.8275782,금암동457-1,127.13509209999998,35.8342151
174,175,태진로R,태평동94-30,127.1376726,35.82129929999999,진북동 890-37,127.1366746,35.8275782,금암동457-1,127.13509209999998,35.8342151
179,180,팔과정로L,팔복동3가403(미래페이퍼 앞),127.0848088,35.8510877,팔복동3가402,127.08695320000001,35.8518768,팔복동3가400-5(공단주유소),127.0887456,35.8544271
180,181,팔과정로R,팔복동3가403(미래페이퍼 앞),127.0848088,35.8510877,팔복동3가402,127.08695320000001,35.8518768,팔복동3가400-5(공단주유소),127.0887456,35.8544271
181,182,팔달로L,금암동454-1,127.13578759999999,35.834387899999996,경원동1가 45,127.1474145,35.8185808,서서학동288-5,127.1488192,35.8037828
182,183,팔달로R,금암동454-1,127.13578759999999,35.834387899999996,경원동1가 45,127.1474145,35.8185808,서서학동288-5,127.1488192,35.8037828
183,184,팔복로L,팔복동2가805-9(전주한지박물관),127.10172549999999,35.8483708,팔복로 140,127.0919024,35.8536124,팔복동2가 820,127.08210459999998,35.858686299999995
184,185,팔복로R,팔복동2가805-9(전주한지박물관),127.10172549999999,35.8483708,팔복로 140,127.0919024,35.8536124,팔복동2가 820,127.08210459999998,35.858686299999995
185,186,평화로L,평화동2가910-3(은강교회),127.13296940000001,35.782518599999996,평화동2가 872-9,127.13565600000001,35.7894061,평화동1가712-1,127.13667579999999,35.7966716
186,187,평화로R,평화동2가910-3(은강교회),127.13296940000001,35.782518599999996,평화동2가 872-9,127.13565600000001,35.7894061,평화동1가712-1,127.13667579999999,35.7966716
187,188,한배미로L,인후동1가928-6,127.16612279999998,35.8257875,한배미로 42,127.16979920000001,35.8243506,우아동1가1088-1,127.17061140000001,35.827352600000005
188,189,한배미로R,인후동1가928-6,127.16612279999998,35.8257875,한배미로 42,127.16979920000001,35.8243506,우아동1가1088-1,127.17061140000001,35.827352600000005
189,190,혁신로1L,장동603-5(장동교),127.0653102,35.8541831,장동 600-12,127.0664996,35.855000200000006,화개네거리,127.0668594,35.8566441
190,191,혁신로1R,장동603-5(장동교),127.0653102,35.8541831,장동 600-12,127.0664996,35.855000200000006,화개네거리,127.0668594,35.8566441
191,192,혁신로2L,화개네거리,127.0668594,35.8566441,여의동 1219-8,127.07151019999999,35.8682145,반월동222-7(동산광장),127.07599979999999,35.8773261
192,193,혁신로2R,화개네거리,127.0668594,35.8566441,여의동 1219-8,127.07151019999999,35.8682145,반월동222-7(동산광장),127.07599979999999,35.8773261
195,196,호반로L,송천동1가308-1,127.11717379999999,35.853981299999994,송천동1가 298-3,127.11975590000002,35.85244779999999,송천동1가295-3,127.119681,35.8524242
