,baseDate,cctvCnt,cctvIns,manageNm,newAddr,oldAddr,pacNm,pacType,posx,posy,precinct,roadWidth,seq
227,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 덕진구 인교5길 23 전주아중초등학교,전라북도 전주시 덕진구 우아동2가 888-2,아중초등학교병설유치원,유치원,127.174894,35.828219,전주덕진경찰서,,19
228,2018-08-14,1.0,Y,전라북도 전주시,전라북도 전주시 완산구 견훤로 100-83 알프스유치원,전라북도 전주시 덕진구 중노송동 30-5,알프스유치원,유치원,127.162833,35.82089,전주완산경찰서,,18
229,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 완산구 양지2길 11-26 양지초등학교병설유치원,전라북도 전주시 완산구 평화동2가 582,양지초등학교병설유치원,유치원,127.1244774,35.7926099,전주완산경찰서,,17
230,2018-08-14,,N,전라북도 전주시,전라북도 전주시 덕진구 도당산4길 53-12 엄마랑유치원,전라북도 전주시 덕진구 우아동3가 750-50,엄마랑유치원,유치원,127.1557887,35.8454217,전주덕진경찰서,,16
231,2018-08-14,3.0,Y,전라북도 전주시,전라북도 전주시 완산구 용머리로 9-40 효자롯데아파트,전라북도 전주시 완산구 효자동1가 414,엔젤유치원,유치원,127.1121135,35.8081477,전주완산경찰서,,15
232,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 완산구 고사평8길 11 여울초등학교,전라북도 전주시 완산구 서신동 923,여울초등학교병설유치원,유치원,127.1113853,35.8375375,전주완산경찰서,,14
233,2018-08-14,,N,전라북도 전주시,전라북도 전주시 완산구 능안자구길 53-9 연세유치원,전라북도 전주시 완산구 삼천동3가 309-8,연세유치원,유치원,127.0849368,35.8068609,전주완산경찰서,,13
234,2018-08-14,1.0,Y,전라북도 전주시,전라북도 전주시 완산구 평화14길 27-33 예대유치원,전라북도 전주시 완산구 평화동2가 858-5,예대유치원,유치원,127.1348336,35.7918357,전주완산경찰서,,12
235,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 완산구 백제대로 20-14 예랑어린이집,전라북도 전주시 완산구 평화동1가 599-4,예랑유치원,유치원,127.1324797,35.7972607,전주완산경찰서,,11
236,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 덕진구 한배미5길 12-6 예일유치원,전라북도 전주시 덕진구 인후동1가 943-7,예일유치원,유치원,127.1670757,35.8241243,전주덕진경찰서,,10
237,2018-08-14,3.0,Y,전라북도 전주시,전라북도 전주시 완산구 신촌2길 10 예일킨더유치원,전라북도 전주시 완산구 중화산동2가 401-15,예일킨더유치원,유치원,127.1171663,35.8144583,전주완산경찰서,,9
238,2018-08-14,4.0,Y,전라북도 전주시,전라북도 전주시 덕진구 틀못3길 7 온빛초등학교병설유치원,전라북도 전주시 덕진구 장동 1066,온빛초등학교병설유치원,유치원,127.0567035,35.8424462,전주덕진경찰서,,8
239,2018-08-14,,N,전라북도 전주시,전라북도 전주시 완산구 구이로 2041 올리브유치원,전라북도 전주시 완산구 평화동3가 98-1,올리브유치원,유치원,127.1292054,35.7803879,전주완산경찰서,,7
240,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 완산구 매곡로 22 완산초등학교병설유치원,전라북도 전주시 완산구 동완산동2가167,완산초등학교병설유치원,유치원,127.1435166,35.8102667,전주완산경찰서,,6
241,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 덕진구 용덕길 30 용덕초등학교,전라북도 전주시 덕진구 용정동 489,용덕초등학교병설유치원,유치원,127.0515375,35.8766154,전주덕진경찰서,,5
242,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 완산구 삼천천변 1길 16 용흥초등학교병설유치원,전라북도 전주시 완산구 삼천동1가 765-2,용흥초등학교병설유치원,유치원,127.1119782,35.7949139,전주완산경찰서,,4
243,2018-08-14,,N,전라북도 전주시,전라북도 전주시 완산구 거마남로 71 우석대부설유치원,전라북도 전주시 완산구 삼천동1가637,우석대부설유치원,유치원,127.124518,35.7957274,전주완산경찰서,,3
244,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 덕진구 벚꽃로 57 우성유치원,전라북도 전주시 덕진구 진북동 434-225,우성유치원,유치원,127.1347965,35.8305981,전주덕진경찰서,,2
245,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 완산구 효자동2가 189 우전초등학교병설유치원,전라북도 전주시 완산구 효자동2가 189,우전초등학교병설유치원,유치원,127.10715,35.8056333,전주완산경찰서,,1
